,score,is_test,truth
4725,-136.76183,1,0
2242,-136.63113,0,0
670,-135.71727,0,0
1224,-135.59082,0,0
463,-135.57643,0,0
2348,-135.29663,0,0
3695,-135.17688,1,0
1683,-134.83517,0,0
2360,-134.77133,0,0
2093,-134.40941,0,0
414,-134.28873,0,0
1253,-134.242,0,0
2336,-134.21579,0,0
634,-134.08212,0,0
2428,-134.06862,0,0
4149,-133.45383,1,0
281,-133.29585,0,0
378,-133.2776,0,0
1186,-133.27196,0,0
1081,-133.2419,0,0
2779,-132.83797,1,0
2619,-132.7518,1,0
3927,-132.53806,1,0
2319,-132.43481,0,0
726,-132.3075,0,0
1036,-132.2791,0,0
2246,-132.27701,0,0
1439,-132.17311,0,0
656,-132.09335,0,0
2853,-132.06932,1,0
1444,-132.00693,0,0
3501,-131.98572,1,0
750,-131.97617,0,0
4359,-131.96901,1,0
870,-131.93927,0,0
1898,-131.56544,0,0
1761,-131.56116,0,0
2796,-131.5324,1,0
895,-131.39418,0,0
196,-131.18259,0,0
3779,-131.17937,1,0
121,-131.10466,0,0
4052,-131.0495,1,0
1729,-131.00143,0,0
4889,-130.8877,1,0
3564,-130.8321,1,0
3801,-130.74242,1,0
3380,-130.29909,1,0
4318,-130.13185,1,0
2377,-130.12244,0,0
2995,-130.00116,1,0
2160,-129.98126,0,0
1425,-129.86475,0,0
1889,-129.80481,0,0
1350,-129.74512,0,0
1712,-129.72256,0,0
1320,-129.55586,0,0
2991,-129.3109,1,0
2454,-129.12665,0,0
4935,-129.09833,1,0
470,-129.0105,0,0
1062,-128.96722,0,0
1222,-128.63799,0,0
3492,-128.56157,1,0
2278,-128.54686,0,0
940,-128.46486,0,0
1018,-128.4593,0,0
2247,-128.43675,0,0
1389,-128.39973,0,0
4595,-128.38895,1,0
3901,-128.04756,1,0
4195,-128.00604,1,0
511,-127.817665,0,0
845,-127.79471,0,0
2484,-127.73179,1,0
1172,-127.695724,0,0
883,-127.671295,0,0
666,-127.66724,0,0
3182,-127.53201,1,0
3787,-127.52592,1,0
2479,-127.438995,1,0
2464,-127.39224,0,0
2881,-127.38725,1,0
2316,-127.387,0,0
2387,-127.285835,0,0
576,-127.219635,0,0
773,-127.20439,0,0
3722,-127.02171,1,0
4844,-127.01383,1,0
1979,-126.78319,0,0
1525,-126.64723,0,0
134,-126.49243,0,0
