,score,is_test,truth
5868,0.1453519,1,1
256,0.15280858,0,0
4203,0.19541489,1,0
4957,0.24787065,1,0
5302,0.24938293,1,1
2663,0.26520613,0,0
2482,0.29418862,0,0
4899,0.29556584,1,0
38,0.33747268,0,0
4274,0.366323,1,0
5846,0.37228593,1,0
886,0.39867932,0,0
4205,0.40232304,1,0
5151,0.40427458,1,1
3285,0.41137683,1,0
5425,0.42092043,1,0
2619,0.44427416,0,0
128,0.44789666,0,0
4631,0.45987785,1,0
347,0.4682816,0,0
2051,0.4758153,0,0
2516,0.492063,0,0
4495,0.5043596,1,0
4085,0.519672,1,0
1152,0.53116685,0,0
1845,0.53177744,0,0
4818,0.53531414,1,1
5284,0.5368736,1,0
957,0.5375389,0,0
5847,0.53779966,1,0
1452,0.5382648,0,0
4383,0.5439601,1,0
2285,0.54427457,0,0
490,0.54434866,0,0
177,0.54530144,0,0
5745,0.54795533,1,0
171,0.5501323,0,0
5998,0.5519429,1,0
2985,0.5545255,0,0
2436,0.55492985,0,0
6080,0.5563598,1,0
5214,0.55679685,1,0
4290,0.55750734,1,0
1560,0.5579924,0,0
766,0.5582778,0,0
3565,0.55833423,1,0
2043,0.5585724,0,0
944,0.5586696,0,0
3050,0.55936784,0,0
2470,0.5594845,0,0
1685,0.5610857,0,0
4718,0.5617586,1,0
4174,0.562545,1,0
2790,0.5630239,0,0
4188,0.56306356,1,0
2838,0.5630685,0,0
2628,0.56358,0,0
2603,0.56416667,0,0
6108,0.564533,1,0
5561,0.5648613,1,0
415,0.56497985,0,0
3315,0.5655954,1,0
2093,0.56562686,0,0
359,0.5659136,0,0
910,0.5665362,0,0
819,0.56665283,0,0
3053,0.5667579,0,0
881,0.5667595,0,0
3204,0.5671027,1,0
2949,0.56732976,0,0
1993,0.5676754,0,0
3549,0.56770104,1,0
234,0.5682583,0,0
2743,0.56907207,0,0
3517,0.5694066,1,0
2207,0.56965727,0,0
307,0.56970656,0,0
2541,0.569927,0,0
1637,0.57012904,0,0
4935,0.57043356,1,0
6002,0.57046765,1,0
1476,0.57058877,0,0
4674,0.57084316,1,0
1654,0.5712278,0,0
3602,0.5717759,1,1
4896,0.5720272,1,0
3046,0.5721151,0,0
2039,0.57247,0,0
2771,0.5724708,0,0
1473,0.5726134,0,0
1682,0.57267165,0,0
973,0.572741,0,0
3704,0.5727427,1,0
2312,0.57326615,0,0
1006,0.57343775,0,0
3998,0.57373965,1,0
2156,0.57383454,0,0
5313,0.57407284,1,0
4656,0.5741027,1,0
828,0.5742631,0,0
5505,0.5742799,1,0
2194,0.5743461,0,0
411,0.57463396,0,0
1912,0.57493615,0,0
4135,0.5751226,1,0
1178,0.575269,0,0
5563,0.57535344,1,0
1229,0.5757201,0,0
4319,0.5757871,1,0
188,0.57585067,0,0
2291,0.57603276,0,0
5579,0.5764046,1,0
2310,0.5765206,0,0
1330,0.5768953,0,0
3075,0.57711726,0,0
6033,0.5772102,1,0
513,0.57756823,0,0
538,0.5777322,0,0
2545,0.5781442,0,0
6154,0.5781727,1,0
5318,0.5781753,1,0
1889,0.5783206,0,0
5183,0.5785254,1,0
890,0.57857114,0,0
1156,0.57861924,0,0
5269,0.57878447,1,0
5686,0.57902706,1,0
1698,0.57907134,0,0
675,0.5795477,0,0
621,0.579583,0,0
1633,0.5798878,0,0
1123,0.57988787,0,0
2210,0.57994413,0,0
2879,0.5799603,0,0
1309,0.5801136,0,0
5626,0.5803885,1,0
617,0.58044475,0,0
2213,0.5804643,0,0
5874,0.5807217,1,0
565,0.58097285,0,0
6152,0.5812168,1,0
3092,0.58127,0,0
669,0.5813273,0,0
3403,0.58134353,1,1
5091,0.58140516,1,0
2426,0.581436,0,0
1279,0.58154106,0,0
3753,0.5815862,1,0
3925,0.5816698,1,0
2024,0.5818457,0,0
303,0.58204246,0,0
1868,0.5822855,0,0
767,0.58233416,0,0
1012,0.58252555,0,0
765,0.5826235,0,0
4736,0.5826576,1,0
5649,0.58268416,1,0
2611,0.58279985,0,0
1359,0.58324414,0,0
4308,0.58325106,1,0
4166,0.5833393,1,0
3864,0.58351237,1,0
1065,0.58352417,0,0
1031,0.5835315,0,0
3275,0.5835518,1,0
4055,0.5836391,1,0
5539,0.5836618,1,0
728,0.58396757,0,0
2407,0.58399713,0,0
856,0.5840034,0,0
3288,0.5841152,1,0
3328,0.58425146,1,0
1238,0.5843197,0,0
2896,0.58447605,0,0
1157,0.58453375,0,0
4358,0.5847219,1,0
3238,0.58480084,1,0
3406,0.58497894,1,0
412,0.58513945,0,0
4162,0.5851442,1,0
3621,0.58532387,1,0
6093,0.5854919,1,0
2418,0.5855293,0,0
2627,0.5855905,0,0
2117,0.5856902,0,0
2506,0.5858561,0,0
68,0.5858731,0,0
2474,0.5859943,0,0
864,0.5860548,0,0
3777,0.5861262,1,0
283,0.58613,0,0
2439,0.58619463,0,0
2959,0.58620536,0,0
2133,0.5862082,0,0
4994,0.586305,1,0
2354,0.5863783,0,0
2692,0.58664346,0,0
2351,0.58666164,0,0
2413,0.5866747,0,0
2300,0.5866928,0,0
769,0.58670324,0,0
4106,0.58672583,1,0
1147,0.58675617,0,0
3304,0.5868197,1,0
3131,0.58684057,1,1
4211,0.58703333,1,0
1319,0.5870364,0,0
3380,0.5870531,1,0
1517,0.5870544,0,0
1081,0.58729464,0,0
1948,0.5873286,0,0
1501,0.5874736,0,0
1550,0.58748734,0,0
2661,0.5875449,0,0
5843,0.5875697,1,0
6158,0.5875767,1,0
1900,0.5875769,0,0
2425,0.5875886,0,0
19,0.5876169,0,0
665,0.58769304,0,0
4490,0.58769697,1,0
95,0.5878542,0,0
4697,0.58786315,1,0
2826,0.58789456,0,0
2799,0.58793193,0,0
1880,0.5881477,0,0
2861,0.5881949,0,0
3678,0.5882135,1,0
4346,0.5882327,1,0
3579,0.5882356,1,0
1699,0.5882382,0,0
2241,0.58824784,0,0
2417,0.5882574,0,0
885,0.5883052,0,0
4105,0.58838135,1,0
653,0.58841515,0,0
394,0.5884712,0,0
3218,0.58854693,1,0
6140,0.5886997,1,0
1603,0.5887344,0,0
1228,0.5887965,0,0
704,0.588821,0,0
573,0.5888724,0,0
3712,0.58891976,1,0
1356,0.5889379,0,0
3032,0.58898735,0,0
2095,0.5892203,0,0
4499,0.5892204,1,0
1113,0.5892284,0,0
1964,0.58923024,0,0
1438,0.58928293,0,0
2812,0.5893633,0,0
4759,0.58938754,1,0
2602,0.58939934,0,0
2153,0.5894124,0,0
246,0.58949256,0,0
915,0.58949554,0,0
2587,0.5895246,0,0
1502,0.5895935,0,0
477,0.5896627,0,0
4003,0.5896904,1,0
2281,0.58971334,0,0
1697,0.5897704,0,0
851,0.58978397,0,0
593,0.5899241,0,0
2964,0.5899341,0,0
3355,0.5899435,1,0
961,0.5899445,0,0
525,0.59011316,0,0
4936,0.5902034,1,0
390,0.5902286,0,0
3298,0.59031713,1,0
5980,0.59032595,1,0
5018,0.59047437,1,0
1239,0.59064883,0,0
2780,0.590654,0,0
86,0.5906582,0,0
3658,0.59067494,1,0
338,0.5907628,0,0
3462,0.5908341,1,0
3546,0.5908426,1,0
1358,0.59095186,0,0
1067,0.5910721,0,0
668,0.59119093,0,0
2876,0.5912328,0,0
1881,0.5912536,0,0
5060,0.5913864,1,0
2488,0.5914191,0,0
1149,0.591431,0,0
5121,0.5914462,1,0
3936,0.59147394,1,0
697,0.591554,0,0
3371,0.5915642,1,0
2159,0.5915657,0,0
1254,0.5916679,0,0
5950,0.591787,1,0
2342,0.5918013,0,0
2609,0.5918138,0,0
1085,0.5918269,0,0
1268,0.5918382,0,0
365,0.5918653,0,0
4628,0.59192055,1,0
5607,0.59192646,1,0
1547,0.59199274,0,0
4882,0.5919971,1,0
5286,0.59209436,1,0
5202,0.5921112,1,0
3303,0.59214544,1,0
4258,0.59214896,1,0
5576,0.59217,1,0
2205,0.59217566,0,0
583,0.59221315,0,0
2750,0.59224135,0,0
908,0.59226114,0,0
1011,0.5922798,0,0
3785,0.5922823,1,0
249,0.59233934,0,0
2775,0.5924458,0,0
5347,0.5925076,1,0
2228,0.59260005,0,0
232,0.59263015,0,0
297,0.5926554,0,0
192,0.5926636,0,0
5299,0.59268016,1,0
383,0.5926851,0,0
644,0.59270483,0,0
4960,0.5927193,1,0
1997,0.59275496,0,0
4716,0.5927659,1,0
869,0.5927989,0,0
1108,0.5928165,0,0
1661,0.5928678,0,0
5130,0.5928724,1,0
5772,0.5928841,1,0
5765,0.59292287,1,0
2461,0.5929315,0,0
1601,0.5929356,0,0
59,0.5929747,0,0
2374,0.5930085,0,0
2813,0.59303516,0,0
1957,0.593036,0,0
1728,0.59315157,0,0
571,0.59315276,0,0
166,0.59315854,0,0
3913,0.59320587,1,0
596,0.5932101,0,0
3605,0.5932279,1,0
2645,0.5932527,0,0
44,0.5932617,0,0
2085,0.5932621,0,0
3434,0.59328085,1,0
3102,0.59329915,1,0
3968,0.59331244,1,0
1676,0.5933249,0,0
1649,0.593349,0,0
533,0.5933759,0,0
2298,0.59338725,0,0
2014,0.59340614,0,0
4214,0.5934081,1,0
2741,0.5934353,0,0
2148,0.5934811,0,0
1068,0.59352946,0,0
5679,0.59353524,1,0
4156,0.5935435,1,0
5037,0.593548,1,0
275,0.59355146,0,0
2276,0.5935576,0,0
277,0.5935701,0,0
928,0.59357464,0,0
1043,0.5935923,0,0
2988,0.5936061,0,0
1247,0.59362257,0,0
2126,0.59369504,0,0
1703,0.5936981,0,0
3976,0.5937058,1,0
3761,0.5937271,1,0
1245,0.5937338,0,0
641,0.5938309,0,0
3127,0.59384257,1,0
1480,0.59385186,0,0
6156,0.5938792,1,0
999,0.59388125,0,0
132,0.59388256,0,0
3386,0.5939388,1,0
374,0.5939437,0,0
3274,0.593949,1,0
1797,0.5939636,0,0
752,0.59400713,0,0
947,0.5940133,0,0
3879,0.59404296,1,0
2500,0.5940878,0,0
4787,0.5941736,1,0
2676,0.59417844,0,0
4897,0.5942113,1,0
76,0.59422,0,0
748,0.5942571,0,0
1248,0.5942853,0,0
3591,0.5943993,1,0
4649,0.594481,1,0
3526,0.5944996,1,0
705,0.5945303,0,0
2820,0.59453934,0,0
2317,0.59455514,0,0
2973,0.594586,0,0
1859,0.5946117,0,0
2273,0.5946238,0,0
2477,0.5946594,0,0
555,0.59471554,0,0
3068,0.5947648,0,0
82,0.5947818,0,0
1250,0.5947956,0,0
613,0.59481806,0,0
5546,0.59486,1,0
1616,0.594915,0,0
3676,0.594928,1,0
5975,0.59495205,1,0
806,0.5949735,0,0
4695,0.59497666,1,0
2019,0.5949903,0,0
2432,0.59500116,0,0
1882,0.5950114,0,0
1823,0.595016,0,0
2933,0.59504247,0,0
880,0.59505856,0,0
104,0.5950629,0,0
2642,0.5951138,0,0
3947,0.595114,1,0
1014,0.5951373,0,0
5703,0.59514403,1,0
2599,0.5951739,0,0
4444,0.5951763,1,0
1155,0.5951993,0,0
2155,0.59524703,0,0
1681,0.59524745,0,0
6196,0.5952633,1,0
1444,0.5953799,0,0
239,0.5953965,0,0
4141,0.5954044,1,0
2175,0.59542465,0,0
6148,0.5954343,1,0
1105,0.59544283,0,0
3884,0.5954808,1,0
3167,0.59550273,1,0
180,0.5955327,0,0
2409,0.5955515,0,0
4192,0.5956022,1,0
2253,0.5956147,0,0
87,0.59563106,0,0
2952,0.5956782,0,0
955,0.5957022,0,0
3969,0.59572995,1,0
3070,0.59578425,0,0
782,0.59580207,0,0
1564,0.5958074,0,0
655,0.5958421,0,0
3789,0.59584534,1,0
2532,0.59589547,0,0
401,0.59589756,0,0
447,0.5959249,0,0
445,0.5959458,0,0
114,0.5959596,0,0
1090,0.5959657,0,0
3186,0.5959931,1,0
3096,0.59599924,0,0
4197,0.596012,1,0
4796,0.5960605,1,0
1896,0.5960783,0,0
5253,0.5960836,1,0
2577,0.59622025,0,0
740,0.59623104,0,0
4938,0.5962694,1,0
4528,0.59627545,1,0
4326,0.596308,1,0
3354,0.5963136,1,0
240,0.59634537,0,0
2807,0.5963658,0,0
3758,0.59637564,1,0
5099,0.5963865,1,0
6128,0.596405,1,0
6001,0.5964087,1,0
5831,0.59641,1,0
5628,0.5964379,1,0
1692,0.59649515,0,0
4288,0.59650046,1,0
2334,0.59651333,0,0
3848,0.5965137,1,0
6195,0.5965274,1,0
497,0.59652954,0,0
1419,0.5965951,0,0
1282,0.59661496,0,0
2712,0.5966189,0,0
2430,0.59669286,0,0
3740,0.5967235,1,0
1855,0.59675866,0,0
1941,0.5967599,0,0
678,0.5967633,0,0
5240,0.59677005,1,0
1188,0.5967911,0,0
5089,0.5968488,1,0
5872,0.5968526,1,0
2673,0.59685385,0,0
439,0.5968702,0,0
3239,0.59687704,1,0
916,0.59688336,0,0
2259,0.5969169,0,0
5864,0.5969207,1,0
1041,0.5969313,0,0
2280,0.5969434,0,0
2837,0.5969541,0,0
2829,0.5969699,0,0
5401,0.59698266,1,0
2301,0.59701383,0,0
3309,0.5970362,1,0
5177,0.5970934,1,0
1353,0.59711534,0,0
4272,0.5971375,1,0
190,0.5971569,0,0
2140,0.5971646,0,0
4312,0.59716976,1,0
230,0.5971886,0,0
608,0.5972102,0,0
3017,0.59721184,0,0
2349,0.5972325,0,0
1490,0.5972449,0,0
3424,0.59732926,1,0
5861,0.5973423,1,1
1355,0.5973434,0,0
30,0.5973488,0,0
3633,0.59738725,1,0
3775,0.5973967,1,0
6071,0.59741247,1,0
464,0.59746295,0,0
1134,0.5975148,0,0
624,0.5975264,0,0
1684,0.5975341,0,0
3812,0.597556,1,0
1570,0.59756404,0,0
3270,0.5975751,1,0
2142,0.59762764,0,0
1798,0.5976424,0,0
492,0.5976636,0,0
1475,0.5977115,0,0
4877,0.5977282,1,0
1183,0.5977394,0,0
5017,0.5977536,1,0
836,0.5977577,0,0
2781,0.59777147,0,0
2932,0.5978207,0,0
2170,0.5978231,0,0
3755,0.5978281,1,0
1421,0.59784716,0,0
494,0.5978488,0,0
4320,0.5978571,1,0
847,0.5978991,0,0
1643,0.59790593,0,0
741,0.5979155,0,0
5021,0.5979396,1,0
1204,0.5979474,0,0
5717,0.59797865,1,0
4087,0.5979968,1,0
1465,0.59806025,0,0
2580,0.59806186,0,0
1491,0.59813994,0,0
1966,0.59816754,0,0
1237,0.59818345,0,0
2441,0.5981856,0,0
587,0.59819037,0,0
5341,0.59821063,1,0
485,0.5982228,0,0
6018,0.59822845,1,0
404,0.5982368,0,0
813,0.5982406,0,0
2494,0.5982406,0,0
2400,0.5982968,0,0
5578,0.59830683,1,0
3945,0.59832054,1,0
1929,0.59832734,0,0
2383,0.59833896,0,0
2219,0.5983749,0,0
5977,0.5983933,1,0
5455,0.5984145,1,0
2724,0.5984274,0,0
1288,0.5984535,0,0
3009,0.59847796,0,0
1214,0.59850943,0,0
2888,0.5985187,0,0
4755,0.59853464,1,0
1802,0.59854823,0,0
5810,0.5985622,1,0
2266,0.5985682,0,0
4839,0.5986,1,0
2496,0.5986309,0,0
463,0.59863615,0,0
2727,0.59865224,0,0
2364,0.5986629,0,0
1841,0.5986678,0,0
5068,0.5986704,1,0
6045,0.5987259,1,0
3905,0.5987362,1,0
1660,0.5987363,0,0
562,0.59878457,0,0
619,0.5987935,0,0
3074,0.5987981,0,0
98,0.598808,0,0
4435,0.59883744,1,0
5023,0.59887755,1,0
763,0.5988938,0,0
312,0.59890324,0,0
2669,0.59891266,0,0
2166,0.5989193,0,0
195,0.59891933,0,0
4953,0.59894985,1,0
2395,0.5989591,0,0
2007,0.5989652,0,0
5873,0.5989768,1,0
1278,0.59897965,0,0
5088,0.5990275,1,0
1903,0.5990577,0,0
2427,0.59907466,0,0
2511,0.59908456,0,0
2187,0.59910274,0,0
677,0.5991155,0,0
5019,0.5991292,1,0
4033,0.5991824,1,0
3349,0.5991915,1,0
2612,0.59923613,0,0
1913,0.59925073,0,0
2803,0.599285,0,0
1426,0.5992907,0,0
717,0.5992934,0,0
2880,0.5993542,0,0
336,0.5993929,0,0
3382,0.5994093,1,0
189,0.599413,0,0
4515,0.5994493,1,0
4015,0.5994696,1,0
3510,0.5994892,1,0
4986,0.5995323,1,0
2892,0.5995332,0,0
4704,0.59957695,1,0
2672,0.5995815,0,0
2356,0.59962857,0,0
3984,0.5996517,1,0
5945,0.5996531,1,0
2830,0.5996544,0,0
4421,0.59973836,1,0
5026,0.5997816,1,0
67,0.5998684,0,0
3149,0.599891,1,0
2913,0.5999031,0,0
1800,0.59991723,0,0
1978,0.5999775,0,0
534,0.5999883,0,0
1992,0.59999937,0,0
6003,0.6000464,1,0
1747,0.6000499,0,0
978,0.60009706,0,0
3020,0.6001272,0,0
1856,0.60013956,0,0
5132,0.6001433,1,0
1936,0.60018,0,0
4388,0.600191,1,0
529,0.6002122,0,0
4078,0.6002833,1,0
1605,0.6002995,0,0
5827,0.6003142,1,0
4441,0.6003226,1,0
5538,0.60037583,1,0
607,0.6004047,0,0
2524,0.60041505,0,0
2290,0.6004425,0,0
3071,0.6004673,0,0
5398,0.6004686,1,0
3036,0.6004716,0,0
4456,0.60050154,1,0
2600,0.600551,0,0
2444,0.6005541,0,0
5196,0.60055536,1,0
5137,0.60055643,1,0
5956,0.6005811,1,0
92,0.60058206,0,0
4603,0.6006546,1,0
1808,0.6006594,0,0
918,0.60069925,0,0
5353,0.6007324,1,0
4811,0.600766,1,0
1107,0.600775,0,0
1932,0.6007866,0,0
5605,0.60078704,1,0
1242,0.6008654,0,0
1307,0.60086775,0,0
1588,0.6008836,0,0
1111,0.60092354,0,0
1734,0.6009564,0,0
328,0.60104215,0,0
3646,0.6010678,1,0
3713,0.60107076,1,0
6184,0.6010851,1,0
3820,0.6011089,1,0
224,0.6011121,0,0
4041,0.6011232,1,0
501,0.60116094,0,0
214,0.60120386,0,0
3325,0.60120636,1,0
1776,0.6012472,0,0
2164,0.60126793,0,0
899,0.6013125,0,0
4860,0.6013196,1,0
5944,0.6013243,1,0
2999,0.601369,0,0
1220,0.60138416,0,0
24,0.6013973,0,0
1454,0.60141057,0,0
2869,0.6014198,0,0
4989,0.601431,1,0
3924,0.6014772,1,0
3886,0.6014806,1,0
5593,0.60151684,1,0
480,0.6015209,0,0
3097,0.6015248,0,0
1582,0.6015361,0,0
1070,0.6015533,0,0
296,0.60157746,0,0
2501,0.6016011,0,0
4263,0.60170007,1,0
879,0.60170573,0,0
3055,0.6017238,0,0
2721,0.60179913,0,0
567,0.60180146,0,0
889,0.6018113,0,0
2682,0.60185903,0,0
3091,0.6018874,0,0
5580,0.60193074,1,0
2755,0.6019557,0,0
4047,0.60198516,1,0
134,0.60199875,0,0
4244,0.60201204,1,0
1757,0.6020335,0,0
648,0.6020438,0,0
3246,0.60205007,1,0
1708,0.60208815,0,0
532,0.60213596,0,0
1110,0.6021413,0,0
2874,0.60219,0,0
2586,0.60221493,0,0
370,0.6022549,0,0
341,0.60225695,0,0
5567,0.6022793,1,0
4479,0.60229254,1,0
5756,0.60231954,1,0
5338,0.6023263,1,0
3698,0.60235417,1,0
1721,0.60237324,0,0
1265,0.6023855,0,0
2115,0.60240066,0,0
55,0.6024007,0,0
5877,0.6024663,1,0
2061,0.60248446,0,0
1051,0.6025341,0,0
3226,0.6025906,1,0
5213,0.60262185,1,0
3449,0.6027758,1,0
5355,0.60278577,1,0
1980,0.6028239,0,0
6179,0.6028934,1,0
1983,0.60289574,0,0
414,0.6029263,0,0
1007,0.60292715,0,0
511,0.6029473,0,0
2420,0.6029532,0,0
2421,0.6029664,0,0
938,0.60298985,0,0
